nama,email kepegawaian,kodeProvinsi
BPS PROVINSI ACEH,kepeg1100@bps.go.id,1100
BPS PROVINSI SUMATERA UTARA,kepegawaian1200@bps.go.id,1200
BPS PROVINSI SUMATERA BARAT,kepegawaian1300@bps.go.id,1300
BPS PROVINSI RIAU,kepegawaian1400@bps.go.id,1400
BPS PROVINSI JAMBI,kepegawaian1500@bps.go.id,1500
BPS PROVINSI SUMATERA SELATAN,kepegawaian1600@bps.go.id,1600
BPS PROVINSI BENGKULU,,1700
BPS PROVINSI LAMPUNG,kepegawaian1800@bps.go.id,1800
BPS PROVINSI KEP. BANGKA BELITUNG,kepegawaian1900@bps.go.id,1900
BPS PROVINSI KEP. RIAU,kepegawaian2100@bps.go.id,2100
BPS PROVINSI DKI JAKARTA,kepegawaian3100@bps.go.id,3100
BPS PROVINSI JAWA BARAT,kepegawaian3200@bps.go.id,3200
BPS PROVINSI JAWA TENGAH,kepegawaian3300@bps.go.id,3300
BPS PROVINSI DI YOGYAKARTA,kepegawaian3400@bps.go.id,3400
BPS PROVINSI JAWA TIMUR,kepegawaian3500@bps.go.id,3500
BPS PROVINSI BANTEN,kepegawaian3600@bps.go.id,3600
BPS PROVINSI BALI,sdm5100@bps.go.id,5100
BPS PROVINSI NUSA TENGGARA BARAT,kepegawaian5200@bps.go.id,5200
BPS PROVINSI NUSA TENGGARA TIMUR,kepegawaian5300@bps.go.id,5300
BPS PROVINSI KALIMANTAN BARAT,kepegawaian6100@bps.go.id,6100
BPS PROVINSI KALIMANTAN TENGAH,kepegawaian6200@bps.go.id,6200
BPS PROVINSI KALIMANTAN SELATAN,kepegawaian6300@bps.go.id,6300
BPS PROVINSI KALIMANTAN TIMUR,kepegawaian6400@bps.go.id,6400
BPS PROVINSI KALIMANTAN UTARA,kepegawaian6500@bps.go.id,6500
BPS PROVINSI SULAWESI UTARA,kepegawaian7100@bps.go.id,7100
BPS PROVINSI SULAWESI TENGAH,kepegawaian7200@bps.go.id,7200
BPS PROVINSI SULAWESI SELATAN,kepegawaian7300@bps.go.id,7300
BPS PROVINSI SULAWESI TENGGARA,kpg7400@bps.go.id,7400
BPS PROVINSI GORONTALO,,7500
BPS PROVINSI SULAWESI BARAT,,7600
BPS PROVINSI MALUKU,,8100
BPS PROVINSI MALUKU UTARA,,8200
BPS PROVINSI PAPUA BARAT,,9100
BPS PROVINSI PAPUA,kepegawaian9400@bps.go.id,9400
